License Name,Current Parent Nav Menu,,Current URL,Page Title,Category,Notes,Version,Release Date,SPDX Identifier,License steward,Approval date,Link to Board minutes,Canonical URL,Category1,Category2?,Category3?
0-clause BSD License (0BSD),Licenses,,https://opensource.org/licenses/0BSD,,Other/Miscellaneous,,,,,,,,,,,
1-clause BSD License (BSD-1-Clause),Licenses,,https://opensource.org/licenses/BSD-1-Clause,,Other/Miscellaneous,,,,,,,,,,,
2-clause BSD License (BSD-2-Clause),Licenses,,https://opensource.org/licenses/BSD-2-Clause,,Popular / Strong Community,,,,,,,,,,,
3-clause BSD License (BSD-3-Clause),Licenses,,https://opensource.org/licenses/BSD-3-Clause,,Popular / Strong Community,,,,,,,,,,,
"Academic Free License 3,0 (AFL-3.0)",Licenses,,https://opensource.org/licenses/AFL-3.0,,Redundant with more popular,,3.0,,,,,,,,,
Adaptive Public License (APL-1.0),Licenses,,https://opensource.org/licenses/APL-1.0,,Other/Miscellaneous,,1.0,,,,,,,,,
Apache Software License 1.1 (Apache-1.1),Licenses,,https://opensource.org/licenses/Apache-1.1,,Superseded,,1.1,,,Apache Software Foundation,,,,,,
Apache License 2.0 (Apache-2.0),Licenses,,https://opensource.org/licenses/Apache-2.0,,Popular / Strong Community,,2.0,,,Apache Software Foundation,,,,,,
Apple Public Source License (APSL-2.0),Licenses,,https://opensource.org/licenses/APSL-2.0,,Non-reusable,,2.0,,,,,,,,,
Artistic license 1.0 (Artistic-1.0),Licenses,,https://opensource.org/licenses/Artistic-1.0,,Superseded,,1.0,,,,,,,,,
Artistic License 2.0 (Artistic-2.0),Licenses,,https://opensource.org/licenses/Artistic-2.0,,Other/Miscellaneous,,2.0,,,,,,,,,
Attribution Assurance License (AAL),Licenses,,https://opensource.org/licenses/AAL,,Redundant with more popular,,,,,,,,,,,
Boost Software License (BSL-1.0),Licenses,,https://opensource.org/licenses/BSL-1.0,,Uncategorized,,1.0,,,,,,,,,
3-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-3-Clause,,Popular / Strong Community,,,,,,,,,,,
2-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-2-Clause,,Popular / Strong Community,,,,,,,,,,,
1-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-1-Clause,,Other/Miscellaneous,,,,,,,,,,,
